level_code,word,ipa,phonetic_us,en_definition,zh_definition,example_en,example_zh,topic,audio_url_uk,audio_url_us,image_url,emoji,difficulty,frequency
KET,apple,/ˈæp.əl/,/ˈæp.əl/,"a round fruit with firm, white flesh and a green, red, or yellow skin",苹果,I eat an apple every morning.,我每天早上吃一个苹果。,food,,,,🍎,1,5
KET,book,/bʊk/,/bʊk/,a written or printed work consisting of pages bound together,书；书本,This book is very interesting.,这本书很有趣。,education,,,,📖,1,5
KET,cat,/kæt/,/kæt/,a small animal with fur that people often keep as a pet,猫,My cat likes to sleep on the sofa.,我的猫喜欢在沙发上睡觉。,animal,,,,🐱,1,5
KET,dog,/dɒɡ/,/dɔːɡ/,a common animal with four legs kept as a pet or trained for work,狗,The dog is barking at the mailman.,狗在对邮递员叫。,animal,,,,🐶,1,5
KET,eat,/iːt/,/iːt/,to put food into the mouth and swallow it,吃,We eat dinner at seven.,我们七点吃晚饭。,food,,,,🍽️,1,5
KET,family,/ˈfæm.əl.i/,/ˈfæm.əl.i/,"a group of people related by blood or marriage",家庭；家人,My family is going on holiday next week.,我家下周要去度假。,family,,,,👨‍👩‍👧,1,5
KET,good,/ɡʊd/,/ɡʊd/,of a high standard or quality,好的；良好的,She is a good teacher.,她是位好老师。,general,,,,👍,1,5
KET,happy,/ˈhæp.i/,/ˈhæp.i/,feeling pleasure or contentment,快乐的；幸福的,The children are happy at the park.,孩子们在公园里很开心。,emotion,,,,😊,1,5
KET,house,/haʊs/,/haʊs/,a building for people to live in,房子；住宅,We live in a small house.,我们住在一栋小房子里。,home,,,,🏠,1,5
KET,read,/riːd/,/riːd/,to look at words and understand what they mean,阅读；读,I read the newspaper every day.,我每天看报纸。,education,,,,📚,1,5
KET,school,/skuːl/,/skuːl/,a place where children go to be educated,学校,She walks to school every morning.,她每天早上走路去学校。,education,,,,🏫,1,5
KET,tree,/triː/,/triː/,a tall plant with a thick trunk and branches,树,There is a big tree in the garden.,花园里有一棵大树。,nature,,,,🌳,1,5
KET,walk,/wɔːk/,/wɑːk/,to move along by putting one foot in front of the other,走路；散步,Let's walk in the park.,我们去公园散步吧。,action,,,,🚶,1,5
KET,water,/ˈwɔː.tər/,/ˈwɑː.t̬ɚ/,"a clear liquid that falls from the sky as rain",水,Please give me a glass of water.,请给我一杯水。,food,,,,💧,1,5
KET,friend,/frend/,/frend/,"a person you know well and like, but who is not part of your family",朋友,She is my best friend.,她是我最好的朋友。,relationship,,,,👫,1,5
KET,play,/pleɪ/,/pleɪ/,to take part in a game or activity for enjoyment,玩耍；游戏,The kids are playing in the yard.,孩子们在院子里玩。,action,,,,🎮,1,5
KET,open,/ˈəʊ.pən/,/ˈoʊ.pən/,"not closed; allowing people or things to pass through",打开的；开着的,The door is open.,门开着。,action,,,,🚪,1,5
KET,sleep,/sliːp/,/sliːp/,to be in a state of rest with eyes closed,睡觉,Babies sleep a lot.,婴儿睡得很多。,action,,,,💤,1,5
KET,red,/red/,/red/,the colour of blood or fire,红色的,She is wearing a red dress.,她穿着一条红色的连衣裙。,color,,,,🔴,1,5
KET,big,/bɪɡ/,/bɪɡ/,large in size or amount,大的,This is a big room.,这是个大房间。,general,,,,📏,1,5
PET,achieve,/əˈtʃiːv/,/əˈtʃiːv/,to succeed in doing something after a lot of effort,实现；取得,She achieved her goal of becoming a doctor.,她实现了当医生的目标。,general,,,,🎯,2,4
PET,advice,/ədˈvaɪs/,/ədˈvaɪs/,an opinion that someone gives about what to do,建议；忠告,Can you give me some advice?,你能给我一些建议吗？,communication,,,,💡,2,4
PET,balance,/ˈbæl.əns/,/ˈbæl.əns/,a state in which different things occur in equal amounts,平衡,It's important to keep a work-life balance.,保持工作与生活的平衡很重要。,general,,,,⚖️,2,4
PET,career,/kəˈrɪər/,/kəˈrɪr/,"the job you do for a long period of your life",职业；生涯,She has had a long career in teaching.,她从事教育工作很长时间了。,work,,,,💼,2,4
PET,decide,/dɪˈsaɪd/,/dɪˈsaɪd/,to choose between two or more possibilities,决定,I can't decide what to wear.,我决定不了穿什么。,action,,,,🤔,2,4
PET,environment,/ɪnˈvaɪ.rən.mənt/,/ɪnˈvaɪ.rən.mənt/,the natural world in which people live,环境,We must protect the environment.,我们必须保护环境。,nature,,,,🌍,2,4
PET,experience,/ɪkˈspɪə.ri.əns/,/ɪkˈspɪr.i.əns/,"knowledge you get by doing something",经验；经历,She has a lot of teaching experience.,她有很多教学经验。,general,,,,📓,2,4
PET,festival,/ˈfes.tɪ.vəl/,/ˈfes.tə.vəl/,"a special day or period of celebration",节日,The music festival lasts three days.,音乐节持续三天。,culture,,,,🎉,2,4
PET,generation,/ˌdʒen.əˈreɪ.ʃən/,/ˌdʒen.əˈreɪ.ʃən/,"all the people of about the same age",一代人,My grandfather's generation lived through the war.,我祖父那一代人经历了战争。,society,,,,👴,2,4
PET,hobby,/ˈhɒb.i/,/ˈhɑː.bi/,"an activity you do regularly for pleasure",爱好,Her hobby is painting.,她的爱好是画画。,leisure,,,,🎨,2,4
PET,imagine,/ɪˈmædʒ.ɪn/,/ɪˈmædʒ.ɪn/,"to form a picture or idea in your mind",想象,Imagine living on Mars.,想象一下住在火星上。,mental,,,,🧠,2,4
PET,journey,/ˈdʒɜː.ni/,/ˈdʒɝː.ni/,"an act of traveling from one place to another",旅程；旅行,The journey took six hours.,这次旅行花了六个小时。,travel,,,,🚆,2,4
PET,knowledge,/ˈnɒl.ɪdʒ/,/ˈnɑː.lɪdʒ/,"information and understanding you have about a subject",知识,His knowledge of history is impressive.,他的历史知识令人印象深刻。,education,,,,🎓,2,4
PET,language,/ˈlæŋ.ɡwɪdʒ/,/ˈlæŋ.ɡwɪdʒ/,"a system of communication using words",语言,English is a global language.,英语是一种全球性语言。,communication,,,,🗣️,2,4
PET,memory,/ˈmem.ər.i/,/ˈmem.ɚ.i/,"the ability to remember information",记忆；记忆力,She has a good memory for names.,她记人名的能力很强。,mental,,,,🧩,2,4
PET,opportunity,/ˌɒp.əˈtʃuː.nə.ti/,/ˌɑː.pɚˈtuː.nə.t̬i/,"a chance to do something",机会,Don't miss this opportunity.,不要错过这个机会。,general,,,,🚪,2,4
PET,prepare,/prɪˈpeər/,/prɪˈper/,"to make ready for something",准备,I need to prepare for the exam.,我需要为考试做准备。,action,,,,📝,2,4
PET,recommend,/ˌrek.əˈmend/,/ˌrek.əˈmend/,"to suggest that someone or something is good",推荐,I recommend this book.,我推荐这本书。,action,,,,👍,2,4
PET,technology,/tekˈnɒl.ə.dʒi/,/tekˈnɑː.lə.dʒi/,"the use of scientific knowledge for practical purposes",技术；科技,Technology is changing fast.,科技在快速变化。,science,,,,💻,2,4
PET,vocabulary,/vəˈkæb.jə.lər.i/,/voʊˈkæb.jə.ler.i/,"all the words known to a person",词汇；词汇量,Reading helps build vocabulary.,阅读有助于扩大词汇量。,education,,,,📖,2,4
FCE,acknowledge,/əkˈnɒl.ɪdʒ/,/əkˈnɑː.lɪdʒ/,"to accept or admit that something is true",承认；确认,He acknowledged his mistake.,他承认了自己的错误。,communication,,,,✅,3,3
FCE,adequate,/ˈæd.ə.kwət/,/ˈæd.ə.kwət/,"enough or satisfactory for a purpose",足够的；适当的,The food supply is adequate for a week.,食物供应一周是够的。,general,,,,📊,3,3
FCE,ambiguous,/æmˈbɪɡ.ju.əs/,/æmˈbɪɡ.ju.əs/,"having more than one possible meaning",模棱两可的,His answer was ambiguous.,他的回答模棱两可。,language,,,,❓,3,3
FCE,anticipate,/ænˈtɪs.ɪ.peɪt/,/ænˈtɪs.ə.peɪt/,"to expect or predict something",预期；预料,We anticipate a good harvest.,我们预计会有好收成。,mental,,,,🔮,3,3
FCE,controversy,/ˈkɒn.trə.vɜː.si/,/ˈkɑːn.trə.vɝː.si/,"serious disagreement about something",争议；争论,The new law caused controversy.,新法律引起了争议。,society,,,,⚔️,3,3
FCE,deliberate,/dɪˈlɪb.ər.ət/,/dɪˈlɪb.ɚ.ət/,"done on purpose; intentional",故意的；蓄意的,That was a deliberate insult.,那是故意侮辱。,action,,,,🎯,3,3
FCE,distinguish,/dɪˈstɪŋ.ɡwɪʃ/,/dɪˈstɪŋ.ɡwɪʃ/,"to recognize a difference between two things",区分；辨别,Can you distinguish right from wrong?,你能辨别对错吗？,mental,,,,🔍,3,3
FCE,emphasize,/ˈem.fə.saɪz/,/ˈem.fə.saɪz/,"to show that something is particularly important",强调,She emphasized the need for honesty.,她强调了诚实的必要性。,communication,,,,❗,3,3
FCE,exaggerate,/ɪɡˈzædʒ.ə.reɪt/,/ɪɡˈzædʒ.ə.reɪt/,"to make something seem larger than it really is",夸大；夸张,Don't exaggerate the problem.,别把问题夸大了。,communication,,,,📈,3,3
FCE,genuine,/ˈdʒen.ju.ɪn/,/ˈdʒen.ju.ɪn/,"real and not fake",真正的；真诚的,Her smile was genuine.,她的微笑很真诚。,character,,,,💎,3,3
FCE,hesitate,/ˈhez.ɪ.teɪt/,/ˈhez.ə.teɪt/,"to pause before doing something",犹豫；迟疑,Don't hesitate to ask.,不要犹豫，尽管问。,action,,,,🤷,3,3
FCE,inevitable,/ɪˈnev.ɪ.tə.bəl/,/ɪˈnev.ə.t̬ə.bəl/,"certain to happen; unavoidable",不可避免的,Change is inevitable.,变化不可避免。,general,,,,⏳,3,3
FCE,justify,/ˈdʒʌs.tɪ.faɪ/,/ˈdʒʌs.tə.faɪ/,"to give a good reason for something",证明...正当；为...辩护,How can you justify your actions?,你如何为你的行为辩护？,communication,,,,⚖️,3,3
FCE,magnificent,/mæɡˈnɪf.ɪ.sənt/,/mæɡˈnɪf.ə.sənt/,"very good; extremely impressive",壮丽的；宏伟的,The view from the top is magnificent.,从顶上看风景很壮丽。,appearance,,,,🏔️,3,3
FCE,obstacle,/ˈɒb.stə.kəl/,/ˈɑːb.stə.kəl/,"something that makes it difficult to do something",障碍；阻碍,Poverty is a major obstacle to education.,贫困是教育的主要障碍。,general,,,,🚧,3,3
FCE,persist,/pəˈsɪst/,/pɚˈsɪst/,"to continue to do something despite difficulties",坚持；持续,Persist in your efforts.,坚持努力。,action,,,,🔁,3,3
FCE,reluctant,/rɪˈlʌk.tənt/,/rɪˈlʌk.tənt/,"unwilling to do something",不情愿的；勉强的,She was reluctant to leave.,她不愿离开。,emotion,,,,😕,3,3
FCE,sophisticated,/səˈfɪs.tɪ.keɪ.tɪd/,/səˈfɪs.tə.keɪ.t̬ɪd/,"complex and advanced",精密的；复杂的,This is a sophisticated system.,这是一个复杂的系统。,technology,,,,🧬,3,3
FCE,tremendous,/trɪˈmen.dəs/,/trəˈmen.dəs/,"very great in amount or strong",巨大的；极大的,We had a tremendous time.,我们玩得非常开心。,general,,,,🎆,3,3
FCE,vulnerable,/ˈvʌl.nər.ə.bəl/,/ˈvʌl.nɚ.ə.bəl/,"easily harmed or influenced",易受伤害的；脆弱的,Children are vulnerable to diseases.,儿童易患疾病。,health,,,,🛡️,3,3
CAE,aesthetic,/esˈθet.ɪk/,/esˈθet̬.ɪk/,"concerned with beauty or art",美学的；审美的,The design has strong aesthetic appeal.,这个设计有很强的美学吸引力。,art,,,,🎨,4,2
CAE,ambivalent,/æmˈbɪv.əl.ənt/,/æmˈbɪv.əl.ənt/,"having mixed feelings about something",矛盾的；摇摆不定的,I feel ambivalent about moving abroad.,我对移居国外感到矛盾。,emotion,,,,🔀,4,2
CAE,benevolent,/bəˈnev.əl.ənt/,/bəˈnev.əl.ənt/,"kind and helpful",仁慈的；善意的,He is a benevolent leader.,他是一位仁慈的领导者。,character,,,,😇,4,2
CAE,conscientious,/ˌkɒn.ʃiˈen.ʃəs/,/ˌkɑːn.ʃiˈen.ʃəs/,"careful and thorough in work",勤勉的；认真的,She is a conscientious worker.,她工作认真。,character,,,,📋,4,2
CAE,detrimental,/ˌdet.rɪˈmen.təl/,/ˌdet.rəˈmen.t̬əl/,"causing harm or damage",有害的；不利的,Smoking is detrimental to health.,吸烟有害健康。,health,,,,⚠️,4,2
CAE,eloquent,/ˈel.ə.kwənt/,/ˈel.ə.kwənt/,"able to express ideas clearly and beautifully",雄辩的；有口才的,She gave an eloquent speech.,她做了一场雄辩的演讲。,communication,,,,🎤,4,2
CAE,formidable,/ˈfɔː.mɪ.də.bəl/,/ˈfɔːr.mə.də.bəl/,"causing fear or respect by being impressive",令人敬畏的；强大的,He is a formidable opponent.,他是个强大的对手。,character,,,,🦁,4,2
CAE,gregarious,/ɡrɪˈɡeə.ri.əs/,/ɡrɪˈɡer.i.əs/,"enjoying the company of others",爱交际的；合群的,She is a gregarious person.,她是个爱交际的人。,character,,,,👥,4,2
CAE,hypothetical,/ˌhaɪ.pəˈθet.ɪ.kəl/,/ˌhaɪ.pəˈθet̬.ɪ.kəl/,"based on assumption rather than fact",假设的；假定的,Let's consider a hypothetical case.,让我们考虑一个假设的情况。,science,,,,🔬,4,2
CAE,inherent,/ɪnˈher.ənt/,/ɪnˈher.ənt/,"existing as a natural part of something",固有的；内在的,There are inherent risks in any investment.,任何投资都有固有风险。,general,,,,🧬,4,2
CAE,meticulous,/məˈtɪk.jə.ləs/,/məˈtɪk.jə.ləs/,"very careful and precise",一丝不苟的；细致的,She is meticulous about details.,她对细节一丝不苟。,character,,,,🔍,4,2
CAE,nuance,/ˈnjuː.ɑːns/,/ˈnuː.ɑːns/,"a very slight difference in meaning or feeling",细微差别；微妙之处,He understood the nuances of the language.,他理解这门语言的微妙之处。,language,,,,🎭,4,2
CAE,paradigm,/ˈpær.ə.daɪm/,/ˈper.ə.daɪm/,"a typical example or pattern of something",范式；典范,The theory represents a new paradigm.,这个理论代表了一种新的范式。,science,,,,📐,4,2
CAE,poignant,/ˈpɔɪ.njənt/,/ˈpɔɪ.njənt/,"causing a feeling of sadness",令人痛心的；辛酸的,It was a poignant moment.,那是个令人心酸的时刻。,emotion,,,,💔,4,2
CAE,quintessential,/ˌkwɪn.tɪˈsen.ʃəl/,/ˌkwɪn.təˈsen.ʃəl/,"being the most typical example of something",典型的；精髓的,This is the quintessential British pub.,这是典型的英式酒吧。,culture,,,,🇬🇧,4,2
CAE,resilient,/rɪˈzɪl.i.ənt/,/rɪˈzɪl.i.ənt/,"able to recover quickly from difficulties",有韧性的；有弹性的,Children are remarkably resilient.,孩子们的适应力很强。,character,,,,💪,4,2
CAE,scrutinize,/ˈskruː.tɪ.naɪz/,/ˈskruː.t̬ən.aɪz/,"to examine something very carefully",仔细检查；详审,Investors scrutinize every report.,投资者仔细审查每一份报告。,action,,,,🔬,4,2
CAE,ubiquitous,/juːˈbɪk.wɪ.təs/,/juːˈbɪk.wə.t̬əs/,"present or found everywhere",无处不在的,Smartphones are ubiquitous today.,如今智能手机无处不在。,technology,,,,📱,4,2
CAE,vindicate,/ˈvɪn.dɪ.keɪt/,/ˈvɪn.də.keɪt/,"to prove that someone is right or innocent",证明...无罪；为...平反,The evidence vindicated him.,证据证明了他无罪。,law,,,,⚖️,4,2
CAE,zealous,/ˈzel.əs/,/ˈzel.əs/,"showing great enthusiasm",热心的；热情的,He is a zealous supporter.,他是一位热情的支持者。,character,,,,🔥,4,2
PRIMARY,bag,/bæɡ/,/bæɡ/,"a container made of paper, cloth, or plastic",包；袋子,I have a new school bag.,我有一个新书包。,object,,,,🎒,1,5
PRIMARY,chair,/tʃeər/,/tʃer/,"a seat for one person with a back",椅子,Please sit on the chair.,请坐在椅子上。,furniture,,,,🪑,1,5
PRIMARY,desk,/desk/,/desk/,"a table for writing or working at",书桌,My desk is in my bedroom.,我的书桌在我卧室里。,furniture,,,,🗄️,1,5
PRIMARY,egg,/eɡ/,/eɡ/,"an oval object with a hard shell laid by birds",鸡蛋,I eat two eggs for breakfast.,我早餐吃两个鸡蛋。,food,,,,🥚,1,5
PRIMARY,father,/ˈfɑː.ðər/,/ˈfɑː.ðɚ/,"a male parent",父亲,My father works in a bank.,我父亲在银行工作。,family,,,,👨,1,5
PRIMARY,girl,/ɡɜːl/,/ɡɝːl/,"a female child",女孩,The girl is wearing a pink dress.,那个女孩穿着粉色连衣裙。,person,,,,👧,1,5
PRIMARY,hand,/hænd/,/hænd/,"the part of the body at the end of the arm",手,Wash your hands before eating.,吃饭前洗手。,body,,,,✋,1,5
PRIMARY,ice,/aɪs/,/aɪs/,"frozen water",冰,I like ice in my drink.,我喜欢在饮料里加冰。,nature,,,,🧊,1,5
PRIMARY,juice,/dʒuːs/,/dʒuːs/,"liquid from fruit or vegetables",果汁,Orange juice is my favorite.,橙汁是我的最爱。,food,,,,🧃,1,5
PRIMARY,kite,/kaɪt/,/kaɪt/,"a toy flown in the wind on a string",风筝,We fly kites in spring.,我们春天放风筝。,toy,,,,🪁,1,5
PRIMARY,lion,/ˈlaɪ.ən/,/ˈlaɪ.ən/,"a large wild cat found in Africa",狮子,The lion is the king of animals.,狮子是百兽之王。,animal,,,,🦁,1,5
PRIMARY,moon,/muːn/,/muːn/,"the round object in the sky at night",月亮,The moon is bright tonight.,今晚月亮很明亮。,nature,,,,🌙,1,5
PRIMARY,nose,/nəʊz/,/noʊz/,"the part of the face above the mouth used to breathe and smell",鼻子,My nose is itchy.,我的鼻子痒。,body,,,,👃,1,5
PRIMARY,orange,/ˈɒr.ɪndʒ/,/ˈɔːr.ɪndʒ/,"a round juicy fruit with thick orange skin",橙子；橙色,Oranges are rich in vitamin C.,橙子富含维生素C。,food,,,,🍊,1,5
PRIMARY,pen,/pen/,/pen/,"a long thin object used for writing with ink",钢笔,I need a pen to sign my name.,我需要一支笔签名。,object,,,,🖊️,1,5
PRIMARY,queen,/kwiːn/,/kwiːn/,"the female ruler of a country",女王，王后,The queen lives in a palace.,女王住在宫殿里。,person,,,,👸,1,5
PRIMARY,sun,/sʌn/,/sʌn/,"the star that the Earth moves around",太阳,The sun is shining today.,今天阳光灿烂。,nature,,,,☀️,1,5
PRIMARY,tiger,/ˈtaɪ.ɡər/,/ˈtaɪ.ɡɚ/,"a large wild cat with orange and black stripes",老虎,Tigers are endangered animals.,老虎是濒危动物。,animal,,,,🐯,1,5
PRIMARY,umbrella,/ʌmˈbrel.ə/,/ʌmˈbrel.ə/,"an object used to protect from rain",雨伞,Take an umbrella; it's raining.,带把伞，下雨了。,object,,,,☂️,1,5
